"Name","Type","Position","Territory","Jurisdiction","Date_Designated","DOB","Nationality","Reference_ID","Programme"
"Наталя Юр’ївна НIКОНОРОВА","Individual","Former so-called ‘Minister of Foreign Affairs’ of the so-called ‘Donetsk People’s Republic’.\nMember of the Federation Council and its Committee on International Affairs and a Senator of the so-called “Donetsk People’s Republic”.","Donetsk","EU","2022-04-08","1984-09-28","","EU.7901.82","UKR — 2023/1765 (OJ L226)"
"Олексiй Олександрович ДIКIЙ","Individual","Former so-called ‘Minister of Internal Affairs’ of the so-called ‘Donetsk People's Republic’","Donetsk","EU","2022-04-08","1974-07-05","","EU.7894.82","UKR — 2025/527 (OJ L202500527)"
"Олексiй Олександрович КОСТРУБИЦЬКИЙ","Individual","Former so-called ‘Minister for Civil Defense, Emergency Situations and Elimination of Consequences of Natural Disasters’ of the so-called ‘Donetsk People’s Republic’\nCurrent head of the so-called “Main Directorate of the Ministry of Emergency Situations of Russia for the Donetsk People’s Republic”","Donetsk","EU","2022-04-08","1978-08-24","","EU.7905.78","UKR — 2025/527 (OJ L202500527)"
"Олександр Олександрович ОПРИЩЕНКО","Individual","Former so-called “Acting Minister of Health” of the so-called “Donetsk People’s Republic” and current “First Deputy Minister of Healthcare” of the so-called “Donetsk People’s Republic”","Donetsk","EU","2022-04-08","1976-04-24","","EU.7900.83","UKR — 2023/1765 (OJ L226)"
"Олександр Юрiйович ГРОМАКОВ","Individual","Former so-called ‘Minister of Youth, Sports, and Tourism of the so-called ‘Donetsk People’s Republic’","Donetsk","EU","2022-04-08","1958-09-04","","EU.7903.80","UKR — 2023/1765 (OJ L226)"
"Тетяна Вiкторiвна ПЕРЕВЕРЗЕВА","Individual","So-called ‘Deputy of the Chair of the Government’ of the so-called ‘Donetsk People’s Republic’","Donetsk","EU","2022-04-08","1964-06-20","","EU.7898.78","UKR — 2022/581 (OJ L110)"
"Элеонора Михайловна ФЕДОРЕНКО","Individual","Advisor on Childrens' Rights to the head of the so-called “Donetsk People’s Republic”","Donetsk","EU","2022-12-16","1972-10-28","","EU.9414.76","UKR — 2022/2476 (OJ L322-I)"
"ィテク株式会社、株式会社 VMP アヴィテク、アヴィテク・ビャトカ機械製","Entity","Joint Stock Company Vyatskoye Mashinostroitelnoye Predpriyatiye","Donetsk","Japan (METI/MFA)","","","","298","Foreign Exchange and Foreign Trade Act"
"Avtodor","Entity","","Donetsk","Switzerland (SECO)","2023-03-01","","","","Ordinance SR 946.231.176.72"
"JSC “Scientific and Engineering Enterprise Informzashchita”","Entity","","Donetsk","Switzerland (SECO)","2023-12-20","","","","Ordinance SR 946.231.176.72"
"Joint-Stock Company Arzamas Scientific Production Enterprise “TEMP-AVIA”","Entity","","Donetsk","Switzerland (SECO)","2024-02-29","","","","Ordinance SR 946.231.176.72"
"Liberal Democratic Party of Russia","Entity","","Donetsk","Switzerland (SECO)","2022-12-20","","","","Ordinance SR 946.231.176.72"
"Ministry of Emergency Situations of the so-called “Donetsk People’s Republic”","Entity","","Donetsk","Switzerland (SECO)","2023-03-01","","","","Ordinance SR 946.231.176.72"
"OAO Svetlovskoye Predpriyatiye Era","Entity","","Donetsk","Switzerland (SECO)","2022-03-25","","","","Ordinance SR 946.231.176.72"
"OSTEC-Enterprise LTD","Entity","","Donetsk","Switzerland (SECO)","2024-12-20","","","","Ordinance SR 946.231.176.72"
"Public movement ""Donetsk Republic""","Entity","","Donetsk","Switzerland (SECO)","2014-12-15","","","","Ordinance SR 946.231.176.72"
"SP KVANT (Sovmestnoe Predpriyatie Kvantovye Tekhnologii)","Entity","","Donetsk","Switzerland (SECO)","2022-03-04","","","","Ordinance SR 946.231.176.72"
"So-called ""Donetsk People's Republic""","Entity","","Donetsk","Switzerland (SECO)","2014-08-04","","","","Ordinance SR 946.231.176.72"
"State Unitary Enterprise of the Donetsk People’s Republic “Komtel”","Entity","","Donetsk","Switzerland (SECO)","2025-03-03","","","","Ordinance SR 946.231.176.72"
"State Unitary Enterprise of the Donetsk People’s Republic “Republican Telecommunications Operator”","Entity","","Donetsk","Switzerland (SECO)","2025-06-02","","","","Ordinance SR 946.231.176.72"
"State Unitary Enterprise of the Donetsk People’s Republic “Ugletelekom”","Entity","","Donetsk","Switzerland (SECO)","2025-12-12","","","","Ordinance SR 946.231.176.72"
"ABUKOV, Sergei Navilievich","Individual","member of the ‘Donetsk People’s Council’, the ‘legislature’ of the illegal separatist ‘Donetsk People’s Republic’","Donetsk","UK (OFSI)","13/04/2022","17/03/1971","","15176","Russia (Sanctions) (EU Exit) Regulations 2019"
"ANANCHENKO, Alexander Yevgenevych","Individual","minister in the illegal separatist ‘government’ of the ‘Donetsk People’s Republic’","Donetsk","UK (OFSI)","13/04/2022","02/02/1966","Ukraine","15084","Russia (Sanctions) (EU Exit) Regulations 2019"
"ANDRIENKO, Vladimir Nikolaevich","Individual","member of the ‘Donetsk People’s Council’, the ‘legislature’ of the illegal separatist ‘Donetsk People’s Republic’","Donetsk","UK (OFSI)","13/04/2022","27/04/1957","","15177","Russia (Sanctions) (EU Exit) Regulations 2019"
"ANIKA, Yaroslav Gennadievich","Individual","member of the ‘Donetsk People’s Council’, the ‘legislature’ of the illegal separatist ‘Donetsk People’s Republic’","Donetsk","UK (OFSI)","13/04/2022","26/06/1990","","15127","Russia (Sanctions) (EU Exit) Regulations 2019"
"ANTIPOV, Igor Yurievich","Individual","minister in the illegal separatist ‘government’ of the ‘Donetsk People’s Republic’","Donetsk","UK (OFSI)","13/04/2022","26/05/1961","","15086","Russia (Sanctions) (EU Exit) Regulations 2019"
"ANTONOV, Vladimir Nikolaevich","Individual","minister in the illegal separatist ‘government’ of the ‘Donetsk People’s Republic’","Donetsk","UK (OFSI)","13/04/2022","24/12/1979","Ukrainian","15088","Russia (Sanctions) (EU Exit) Regulations 2019"
"AVDEEV, Alexander Vasilievich","Individual","member of the ‘Donetsk People’s Council’, the ‘legislature’ of the illegal separatist ‘Donetsk People’s Republic’","Donetsk","UK (OFSI)","13/04/2022","07/12/1958","","15178","Russia (Sanctions) (EU Exit) Regulations 2019"
"Antyufeyev, Vladimir","Individual","Deputy Director General of the State-owned enterprise 'United Engine Corporation'","Donetsk","UK (OFSI)","31/12/2020","19/02/1951","Russia","13067","Russia (Sanctions) (EU Exit) Regulations 2019"
"BABENKO, Oksana Alexandrovna","Individual","member of the ‘Donetsk People’s Council’, the ‘legislature’ of the illegal separatist ‘Donetsk People’s Republic’","Donetsk","UK (OFSI)","13/04/2022","03/06/1987","","15179","Russia (Sanctions) (EU Exit) Regulations 2019"
"BAEVSKY, Andrey Vasilievich","Individual","member of the ‘Donetsk People’s Council’, the ‘legislature’ of the illegal separatist ‘Donetsk People’s Republic’","Donetsk","UK (OFSI)","13/04/2022","19/08/1972","","15180","Russia (Sanctions) (EU Exit) Regulations 2019"
"BANAKH, Alexander Sergeevich","Individual","member of the ‘Donetsk People’s Council’, the ‘legislature’ of the illegal separatist ‘Donetsk People’s Republic’","Donetsk","UK (OFSI)","13/04/2022","23/07/1985","","15181","Russia (Sanctions) (EU Exit) Regulations 2019"
"BERDICHEVSKY, Vladislav Leonidovich","Individual","member of the ‘Donetsk People’s Council’, the ‘legislature’ of the illegal separatist ‘Donetsk People’s Republic’","Donetsk","UK (OFSI)","13/04/2022","10/09/1967","","15131","Russia (Sanctions) (EU Exit) Regulations 2019"
"BILYALOV, Rinat Alievich","Individual","member of the ‘Donetsk People’s Council’, the ‘legislature’ of the illegal separatist ‘Donetsk People’s Republic’","Donetsk","UK (OFSI)","13/04/2022","20/10/1969","","15182","Russia (Sanctions) (EU Exit) Regulations 2019"
"BOGATOVA, Maria Viktorovna","Individual","member of the ‘Donetsk People’s Council’, the ‘legislature’ of the illegal separatist ‘Donetsk People’s Republic’","Donetsk","UK (OFSI)","13/04/2022","21/04/1997","","15183","Russia (Sanctions) (EU Exit) Regulations 2019"
"BONDARCHUK, Anatoly Vladimirovich","Individual","member of the ‘Donetsk People’s Council’, the ‘legislature’ of the illegal separatist ‘Donetsk People’s Republic’","Donetsk","UK (OFSI)","13/04/2022","01/06/1948","","15184","Russia (Sanctions) (EU Exit) Regulations 2019"
"BONDARENKO, Alexander Alexandrovich","Individual","member of the ‘Donetsk People’s Council’, the ‘legislature’ of the illegal separatist ‘Donetsk People’s Republic’","Donetsk","UK (OFSI)","13/04/2022","02/09/1983","","15185","Russia (Sanctions) (EU Exit) Regulations 2019"
"BUBNOV, Ilya","Individual","Deputy Minister of Youth, Sports and Tourism of the so-called Donetsk People's Republic","Donetsk","UK (OFSI)","26/09/2022","24/03/1993","","15514","Russia (Sanctions) (EU Exit) Regulations 2019"
"BYKADOROV, Alexander Viktorovich","Individual","member of the ‘Donetsk People’s Council’, the ‘legislature’ of the illegal separatist ‘Donetsk People’s Republic’","Donetsk","UK (OFSI)","13/04/2022","28/09/1985","","15186","Russia (Sanctions) (EU Exit) Regulations 2019"
"Basurin, Eduard Aleksandrovich","Individual","Spokesperson and Deputy Head of 'People's Militia', Donetsk People's Republic","Donetsk","UK (OFSI)","31/12/2020","27/06/1966","","13203","Russia (Sanctions) (EU Exit) Regulations 2019"
"Bereza, Oleg Vladimirovich","Individual","Former Internal Affairs Minister of Donetsk People's Republic","Donetsk","UK (OFSI)","31/12/2020","28/02/1977","Ukraine","13096","Russia (Sanctions) (EU Exit) Regulations 2019"
"Berezin, Fedor Dmitrievich","Individual","responsible for actions which undermine or threaten the territorial integrity","Donetsk","UK (OFSI)","31/12/2020","07/02/1960","Ukraine","13064","Russia (Sanctions) (EU Exit) Regulations 2019"
"Bezler, Igor Nikolaevich","Individual","One of the former leaders of self-proclaimed militia of Horlivka","Donetsk","UK (OFSI)","31/12/2020","30/12/1965","Russia","12971","Russia (Sanctions) (EU Exit) Regulations 2019"
"Bidevka, Vladimir Anatolievitch","Individual","Chairperson of the so-called Donetsk People's Council","Donetsk","UK (OFSI)","31/12/2020","07/03/1981","Ukraine","13724","Russia (Sanctions) (EU Exit) Regulations 2019"
"Borodai, Aleksandr Yurevich","Individual","Former Prime Minister of the Donetsk People","Donetsk","UK (OFSI)","31/12/2020","25/07/1972","","13009","Russia (Sanctions) (EU Exit) Regulations 2019"
"CHAUSOVA, Yana Sergeevna","Individual","minister in the illegal separatist ‘government’ of the ‘Donetsk People’s Republic’","Donetsk","UK (OFSI)","13/04/2022","22/09/1980","","15103","Russia (Sanctions) (EU Exit) Regulations 2019"
"CHEKAREVA, Natalya Dmitrievna","Individual","member of the ‘Donetsk People’s Council’, the ‘legislature’ of the illegal separatist ‘Donetsk People’s Republic’","Donetsk","UK (OFSI)","13/04/2022","13/05/1969","","15187","Russia (Sanctions) (EU Exit) Regulations 2019"
"CHERTKOV, Andrey Gennadievich","Individual","The so-called 'Minister of Coal and Energy' of the so-called 'DPR'","Donetsk","UK (OFSI)","26/09/2022","04/09/1969","","15520","Russia (Sanctions) (EU Exit) Regulations 2019"
"CHUCHIN, Sergey Anatolievich","Individual","member of the ‘Donetsk People’s Council’, the ‘legislature’ of the illegal separatist ‘Donetsk People’s Republic’","Donetsk","UK (OFSI)","13/04/2022","11/12/1959","","15188","Russia (Sanctions) (EU Exit) Regulations 2019"
"CHURADZE, Dmitry Murtazievich","Individual","member of the ‘Donetsk People’s Council’, the ‘legislature’ of the illegal separatist ‘Donetsk People’s Republic’","Donetsk","UK (OFSI)","13/04/2022","24/10/1974","","15189","Russia (Sanctions) (EU Exit) Regulations 2019"
"DEZORTSEV, Dmitry Eduardovich","Individual","member of the ‘Donetsk People’s Council’, the ‘legislature’ of the illegal separatist ‘Donetsk People’s Republic’","Donetsk","UK (OFSI)","13/04/2022","19/06/1966","","15190","Russia (Sanctions) (EU Exit) Regulations 2019"
"DIANOVA, Irina Leontievna","Individual","member of the ‘Donetsk People’s Council’, the ‘legislature’ of the illegal separatist ‘Donetsk People’s Republic’","Donetsk","UK (OFSI)","13/04/2022","13/10/1962","","15191","Russia (Sanctions) (EU Exit) Regulations 2019"
"DIKIY, Aleksei Alexandrovich","Individual","minister in the illegal separatist ‘government’ of the ‘Donetsk People’s Republic’","Donetsk","UK (OFSI)","13/04/2022","05/07/1974","","15085","Russia (Sanctions) (EU Exit) Regulations 2019"
"DOROFEEV, Alexey Sergeevich","Individual","member of the ‘Donetsk People’s Council’, the ‘legislature’ of the illegal separatist ‘Donetsk People’s Republic’","Donetsk","UK (OFSI)","13/04/2022","11/11/1986","","15192","Russia (Sanctions) (EU Exit) Regulations 2019"
"DUBOVKA, Vladimir Nikolaevich","Individual","member of the ‘Donetsk People’s Council’, the ‘legislature’ of the illegal separatist ‘Donetsk People’s Republic’","Donetsk","UK (OFSI)","13/04/2022","14/09/1982","","15193","Russia (Sanctions) (EU Exit) Regulations 2019"
"DUBOVSKIY, Ruslan Mihajlovich","Individual","minister in the illegal separatist ‘government’ of the ‘Donetsk People’s Republic’","Donetsk","UK (OFSI)","13/04/2022","20/02/1974","","15102","Russia (Sanctions) (EU Exit) Regulations 2019"
"DYAGOVETS, Alexander Pavlovich","Individual","member of the ‘Donetsk People’s Council’, the ‘legislature’ of the illegal separatist ‘Donetsk People’s Republic’","Donetsk","UK (OFSI)","13/04/2022","12/01/1962","","15194","Russia (Sanctions) (EU Exit) Regulations 2019"
"Degtyarev, Mikhail Vladimirovich","Individual","Appointed Governor of Khabarovsk Krai Territory in September 2021. | Member of the Russian State Duma, and Chairman of the Russian State Duma Committee on Physical Education, Sport and Youth Affairs.","Donetsk","UK (OFSI)","31/12/2020","10/07/1981","Russia","13041","Russia (Sanctions) (EU Exit) Regulations 2019"
"Donbass People's Militia","Entity","","Donetsk","UK (OFSI)","31/12/2020","","","13045","Russia (Sanctions) (EU Exit) Regulations 2019"
"Donetsk Republic","Entity","","Donetsk","UK (OFSI)","31/12/2020","","","13183","Russia (Sanctions) (EU Exit) Regulations 2019"
"FEDERALNOE KAZENNOE PREDPRIIATIE GOSUDARSTVENNYI NAUCHNO ISSLEDOVATELSKII INSTITUT KHIMICHESKIKH PRODUKTOV","Entity","","Donetsk","UK (OFSI)","24/02/2025","","","16799","Russia (Sanctions) (EU Exit) Regulations 2019"
